ini,end,wsize,mid_win,id
6505001,6525001,20000,6515001,435
6520001,6540001,20000,6530001,436
6535001,6555001,20000,6545001,437
6550001,6570001,20000,6560001,438
6565001,6585001,20000,6575001,439
6580001,6600001,20000,6590001,440
6595001,6615001,20000,6605001,441
6610001,6630001,20000,6620001,442
6625001,6645001,20000,6635001,443
6640001,6660001,20000,6650001,444
6655001,6675001,20000,6665001,445
6670001,6690001,20000,6680001,446
6685001,6705001,20000,6695001,447
6700001,6720001,20000,6710001,448
6715001,6735001,20000,6725001,449
6730001,6750001,20000,6740001,450
6745001,6765001,20000,6755001,451
6760001,6780001,20000,6770001,452
6775001,6795001,20000,6785001,453
6790001,6810001,20000,6800001,454
6805001,6825001,20000,6815001,455
6820001,6840001,20000,6830001,456
6835001,6855001,20000,6845001,457
6850001,6870001,20000,6860001,458
6865001,6885001,20000,6875001,459
6880001,6900001,20000,6890001,460
6895001,6915001,20000,6905001,461
6910001,6930001,20000,6920001,462
6925001,6945001,20000,6935001,463
6940001,6960001,20000,6950001,464
6955001,6975001,20000,6965001,465
6970001,6990001,20000,6980001,466
6985001,7005001,20000,6995001,467
7000001,7020001,20000,7010001,468
7015001,7035001,20000,7025001,469
7030001,7050001,20000,7040001,470
7045001,7065001,20000,7055001,471
7060001,7080001,20000,7070001,472
7075001,7095001,20000,7085001,473
7090001,7110001,20000,7100001,474
7105001,7125001,20000,7115001,475
7120001,7140001,20000,7130001,476
7135001,7155001,20000,7145001,477
7150001,7170001,20000,7160001,478
7165001,7185001,20000,7175001,479
7180001,7200001,20000,7190001,480
7195001,7215001,20000,7205001,481
7210001,7230001,20000,7220001,482
7225001,7245001,20000,7235001,483
7240001,7260001,20000,7250001,484
7255001,7275001,20000,7265001,485
7270001,7290001,20000,7280001,486
7285001,7305001,20000,7295001,487
7300001,7320001,20000,7310001,488
7315001,7335001,20000,7325001,489
7330001,7350001,20000,7340001,490
7345001,7365001,20000,7355001,491
7360001,7380001,20000,7370001,492
7375001,7395001,20000,7385001,493
7390001,7410001,20000,7400001,494
7405001,7425001,20000,7415001,495
7420001,7440001,20000,7430001,496
7435001,7455001,20000,7445001,497
7450001,7470001,20000,7460001,498
7465001,7485001,20000,7475001,499
7480001,7500001,20000,7490001,500
7495001,7515001,20000,7505001,501
7510001,7530001,20000,7520001,502
7525001,7545001,20000,7535001,503
7540001,7560001,20000,7550001,504
7555001,7575001,20000,7565001,505
7570001,7590001,20000,7580001,506
7585001,7605001,20000,7595001,507
7600001,7620001,20000,7610001,508
7615001,7635001,20000,7625001,509
7630001,7650001,20000,7640001,510
7645001,7665001,20000,7655001,511
7660001,7680001,20000,7670001,512
7675001,7695001,20000,7685001,513
7690001,7710001,20000,7700001,514
7705001,7725001,20000,7715001,515
7720001,7740001,20000,7730001,516
7735001,7755001,20000,7745001,517
7750001,7770001,20000,7760001,518
7765001,7785001,20000,7775001,519
7780001,7800001,20000,7790001,520
7795001,7815001,20000,7805001,521
7810001,7830001,20000,7820001,522
7825001,7845001,20000,7835001,523
7840001,7860001,20000,7850001,524
7855001,7875001,20000,7865001,525
7870001,7890001,20000,7880001,526
7885001,7905001,20000,7895001,527
7900001,7920001,20000,7910001,528
7915001,7935001,20000,7925001,529
7930001,7950001,20000,7940001,530
7945001,7965001,20000,7955001,531
7960001,7980001,20000,7970001,532
7975001,7995001,20000,7985001,533
7990001,8010001,20000,8000001,534
8005001,8025001,20000,8015001,535
8020001,8040001,20000,8030001,536
8035001,8055001,20000,8045001,537
8050001,8070001,20000,8060001,538
8065001,8085001,20000,8075001,539
8080001,8100001,20000,8090001,540
8095001,8115001,20000,8105001,541
8110001,8130001,20000,8120001,542
8125001,8145001,20000,8135001,543
8140001,8160001,20000,8150001,544
8155001,8175001,20000,8165001,545
8170001,8190001,20000,8180001,546
8185001,8205001,20000,8195001,547
8200001,8220001,20000,8210001,548
8215001,8235001,20000,8225001,549
8230001,8250001,20000,8240001,550
8245001,8265001,20000,8255001,551
8260001,8280001,20000,8270001,552
8275001,8295001,20000,8285001,553
8290001,8310001,20000,8300001,554
8305001,8325001,20000,8315001,555
8320001,8340001,20000,8330001,556
8335001,8355001,20000,8345001,557
8350001,8370001,20000,8360001,558
8365001,8385001,20000,8375001,559
8380001,8400001,20000,8390001,560
8395001,8415001,20000,8405001,561
8410001,8430001,20000,8420001,562
8425001,8445001,20000,8435001,563
8440001,8460001,20000,8450001,564
8455001,8475001,20000,8465001,565
8470001,8490001,20000,8480001,566
8485001,8505001,20000,8495001,567
8500001,8520001,20000,8510001,568
8515001,8535001,20000,8525001,569
8530001,8550001,20000,8540001,570
8545001,8565001,20000,8555001,571
8560001,8580001,20000,8570001,572
8575001,8595001,20000,8585001,573
8590001,8610001,20000,8600001,574
8605001,8625001,20000,8615001,575
8620001,8640001,20000,8630001,576
8635001,8655001,20000,8645001,577
8650001,8670001,20000,8660001,578
8665001,8685001,20000,8675001,579
8680001,8700001,20000,8690001,580
8695001,8715001,20000,8705001,581
8710001,8730001,20000,8720001,582
8725001,8745001,20000,8735001,583
8740001,8760001,20000,8750001,584
8755001,8775001,20000,8765001,585
8770001,8790001,20000,8780001,586
8785001,8805001,20000,8795001,587
8800001,8820001,20000,8810001,588
8815001,8835001,20000,8825001,589
8830001,8850001,20000,8840001,590
8845001,8865001,20000,8855001,591
8860001,8880001,20000,8870001,592
8875001,8895001,20000,8885001,593
8890001,8910001,20000,8900001,594
8905001,8925001,20000,8915001,595
8920001,8940001,20000,8930001,596
8935001,8955001,20000,8945001,597
8950001,8970001,20000,8960001,598
8965001,8985001,20000,8975001,599
8980001,9000001,20000,8990001,600
8995001,9015001,20000,9005001,601
9010001,9030001,20000,9020001,602
9025001,9045001,20000,9035001,603
9040001,9060001,20000,9050001,604
9055001,9075001,20000,9065001,605
9070001,9090001,20000,9080001,606
9085001,9105001,20000,9095001,607
9100001,9120001,20000,9110001,608
9115001,9135001,20000,9125001,609
9130001,9150001,20000,9140001,610
9145001,9165001,20000,9155001,611
9160001,9180001,20000,9170001,612
9175001,9195001,20000,9185001,613
9190001,9210001,20000,9200001,614
9205001,9225001,20000,9215001,615
9220001,9240001,20000,9230001,616
9235001,9255001,20000,9245001,617
9250001,9270001,20000,9260001,618
9265001,9285001,20000,9275001,619
9280001,9300001,20000,9290001,620
9295001,9315001,20000,9305001,621
9310001,9330001,20000,9320001,622
9325001,9345001,20000,9335001,623
9340001,9360001,20000,9350001,624
9355001,9375001,20000,9365001,625
9370001,9390001,20000,9380001,626
9385001,9405001,20000,9395001,627
9400001,9420001,20000,9410001,628
9415001,9435001,20000,9425001,629
9430001,9450001,20000,9440001,630
9445001,9465001,20000,9455001,631
9460001,9480001,20000,9470001,632
9475001,9495001,20000,9485001,633
9490001,9510001,20000,9500001,634
9505001,9525001,20000,9515001,635
9520001,9540001,20000,9530001,636
9535001,9555001,20000,9545001,637
9550001,9570001,20000,9560001,638
9565001,9585001,20000,9575001,639
9580001,9600001,20000,9590001,640
9595001,9615001,20000,9605001,641
9610001,9630001,20000,9620001,642
9625001,9645001,20000,9635001,643
9640001,9660001,20000,9650001,644
9655001,9675001,20000,9665001,645
9670001,9690001,20000,9680001,646
9685001,9705001,20000,9695001,647
9700001,9720001,20000,9710001,648
9715001,9735001,20000,9725001,649
9730001,9750001,20000,9740001,650
9745001,9765001,20000,9755001,651
9760001,9780001,20000,9770001,652
9775001,9795001,20000,9785001,653
9790001,9810001,20000,9800001,654
9805001,9825001,20000,9815001,655
9820001,9840001,20000,9830001,656
9835001,9855001,20000,9845001,657
9850001,9870001,20000,9860001,658
9865001,9885001,20000,9875001,659
9880001,9900001,20000,9890001,660
9895001,9915001,20000,9905001,661
9910001,9930001,20000,9920001,662
9925001,9945001,20000,9935001,663
9940001,9960001,20000,9950001,664
9955001,9975001,20000,9965001,665
9970001,9990001,20000,9980001,666
9985001,10005001,20000,9995001,667
10000001,10020001,20000,10010001,668
10015001,10035001,20000,10025001,669
10030001,10050001,20000,10040001,670
10045001,10065001,20000,10055001,671
10060001,10080001,20000,10070001,672
10075001,10095001,20000,10085001,673
10090001,10110001,20000,10100001,674
10105001,10125001,20000,10115001,675
10120001,10140001,20000,10130001,676
10135001,10155001,20000,10145001,677
10150001,10170001,20000,10160001,678
10165001,10185001,20000,10175001,679
10180001,10200001,20000,10190001,680
10195001,10215001,20000,10205001,681
10210001,10230001,20000,10220001,682
10225001,10245001,20000,10235001,683
10240001,10260001,20000,10250001,684
10255001,10275001,20000,10265001,685
10270001,10290001,20000,10280001,686
10285001,10305001,20000,10295001,687
10300001,10320001,20000,10310001,688
10315001,10335001,20000,10325001,689
10330001,10350001,20000,10340001,690
10345001,10365001,20000,10355001,691
10360001,10380001,20000,10370001,692
10375001,10395001,20000,10385001,693
10390001,10410001,20000,10400001,694
10405001,10425001,20000,10415001,695
10420001,10440001,20000,10430001,696
10435001,10455001,20000,10445001,697
10450001,10470001,20000,10460001,698
10465001,10485001,20000,10475001,699
10480001,10500001,20000,10490001,700
10495001,10515001,20000,10505001,701
10510001,10530001,20000,10520001,702
10525001,10545001,20000,10535001,703
10540001,10560001,20000,10550001,704
10555001,10575001,20000,10565001,705
10570001,10590001,20000,10580001,706
10585001,10605001,20000,10595001,707
10600001,10620001,20000,10610001,708
10615001,10635001,20000,10625001,709
10630001,10650001,20000,10640001,710
10645001,10665001,20000,10655001,711
10660001,10680001,20000,10670001,712
10675001,10695001,20000,10685001,713
10690001,10710001,20000,10700001,714
10705001,10725001,20000,10715001,715
10720001,10740001,20000,10730001,716
10735001,10755001,20000,10745001,717
10750001,10770001,20000,10760001,718
10765001,10785001,20000,10775001,719
10780001,10800001,20000,10790001,720
10795001,10815001,20000,10805001,721
10810001,10830001,20000,10820001,722
10825001,10845001,20000,10835001,723
10840001,10860001,20000,10850001,724
10855001,10875001,20000,10865001,725
10870001,10890001,20000,10880001,726
10885001,10905001,20000,10895001,727
10900001,10920001,20000,10910001,728
10915001,10935001,20000,10925001,729
10930001,10950001,20000,10940001,730
10945001,10965001,20000,10955001,731
10960001,10980001,20000,10970001,732
10975001,10995001,20000,10985001,733
10990001,11010001,20000,11000001,734
11005001,11025001,20000,11015001,735
11020001,11040001,20000,11030001,736
11035001,11055001,20000,11045001,737
11050001,11070001,20000,11060001,738
11065001,11085001,20000,11075001,739
11080001,11100001,20000,11090001,740
11095001,11115001,20000,11105001,741
11110001,11130001,20000,11120001,742
11125001,11145001,20000,11135001,743
11140001,11160001,20000,11150001,744
11155001,11175001,20000,11165001,745
11170001,11190001,20000,11180001,746
11185001,11205001,20000,11195001,747
11200001,11220001,20000,11210001,748
11215001,11235001,20000,11225001,749
11230001,11250001,20000,11240001,750
11245001,11265001,20000,11255001,751
11260001,11280001,20000,11270001,752
11275001,11295001,20000,11285001,753
11290001,11310001,20000,11300001,754
11305001,11325001,20000,11315001,755
11320001,11340001,20000,11330001,756
11335001,11355001,20000,11345001,757
11350001,11370001,20000,11360001,758
11365001,11385001,20000,11375001,759
11380001,11400001,20000,11390001,760
11395001,11415001,20000,11405001,761
11410001,11430001,20000,11420001,762
11425001,11445001,20000,11435001,763
11440001,11460001,20000,11450001,764
11455001,11475001,20000,11465001,765
11470001,11490001,20000,11480001,766
11485001,11505001,20000,11495001,767
11500001,11520001,20000,11510001,768
11515001,11535001,20000,11525001,769
11530001,11550001,20000,11540001,770
11545001,11565001,20000,11555001,771
11560001,11580001,20000,11570001,772
11575001,11595001,20000,11585001,773
11590001,11610001,20000,11600001,774
11605001,11625001,20000,11615001,775
11620001,11640001,20000,11630001,776
11635001,11655001,20000,11645001,777
11650001,11670001,20000,11660001,778
11665001,11685001,20000,11675001,779
11680001,11700001,20000,11690001,780
11695001,11715001,20000,11705001,781
11710001,11730001,20000,11720001,782
11725001,11745001,20000,11735001,783
11740001,11760001,20000,11750001,784
11755001,11775001,20000,11765001,785
11770001,11790001,20000,11780001,786
11785001,11805001,20000,11795001,787
11800001,11820001,20000,11810001,788
11815001,11835001,20000,11825001,789
11830001,11850001,20000,11840001,790
11845001,11865001,20000,11855001,791
11860001,11880001,20000,11870001,792
11875001,11895001,20000,11885001,793
11890001,11910001,20000,11900001,794
11905001,11925001,20000,11915001,795
11920001,11940001,20000,11930001,796
11935001,11955001,20000,11945001,797
11950001,11970001,20000,11960001,798
11965001,11985001,20000,11975001,799
11980001,12000001,20000,11990001,800
11995001,12015001,20000,12005001,801
12010001,12030001,20000,12020001,802
12025001,12045001,20000,12035001,803
12040001,12060001,20000,12050001,804
12055001,12075001,20000,12065001,805
12070001,12090001,20000,12080001,806
12085001,12105001,20000,12095001,807
12100001,12120001,20000,12110001,808
12115001,12135001,20000,12125001,809
12130001,12150001,20000,12140001,810
12145001,12165001,20000,12155001,811
12160001,12180001,20000,12170001,812
12175001,12195001,20000,12185001,813
12190001,12210001,20000,12200001,814
12205001,12225001,20000,12215001,815
12220001,12240001,20000,12230001,816
12235001,12255001,20000,12245001,817
12250001,12270001,20000,12260001,818
12265001,12285001,20000,12275001,819
12280001,12300001,20000,12290001,820
12295001,12315001,20000,12305001,821
12310001,12330001,20000,12320001,822
12325001,12345001,20000,12335001,823
12340001,12360001,20000,12350001,824
12355001,12375001,20000,12365001,825
12370001,12390001,20000,12380001,826
12385001,12405001,20000,12395001,827
12400001,12420001,20000,12410001,828
12415001,12435001,20000,12425001,829
12430001,12450001,20000,12440001,830
12445001,12465001,20000,12455001,831
12460001,12480001,20000,12470001,832
